sjis_hex,glyph_index,sjis_char,kor_char
0x889f,872,亜,가
0x88a0,873,唖,각
0x88a1,874,娃,간
0x88a2,875,阿,갇
0x88a3,876,哀,갈
0x88a4,877,愛,갉
0x88a5,878,挨,갊
0x88a6,879,姶,감
0x88a7,880,逢,갑
0x88a8,881,葵,값
0x88a9,882,茜,갓
0x88aa,883,穐,갔
0x88ab,884,悪,강
0x88ac,885,握,갖
0x88ad,886,渥,갗
0x88ae,887,旭,같
0x88af,888,葦,갚
0x88b0,889,芦,갛
0x88b1,890,鯵,개
0x88b2,891,梓,객
0x88b3,892,圧,갠
0x88b4,893,斡,갤
0x88b5,894,扱,갬
0x88b6,895,宛,갭
0x88b7,896,姐,갯
0x88b8,897,虻,갰
0x88b9,898,飴,갱
0x88ba,899,絢,갸
0x88bb,900,綾,갹
0x88bc,901,鮎,갼
0x88bd,902,或,걀
0x88be,903,粟,걋
0x88bf,904,袷,걍
0x88c0,905,安,걔
0x88c1,906,庵,걘
0x88c2,907,按,걜
0x88c3,908,暗,거
0x88c4,909,案,걱
0x88c5,910,闇,건
0x88c6,911,鞍,걷
0x88c7,912,杏,걸
0x88c8,913,以,걺
0x88c9,914,伊,검
0x88ca,915,位,겁
0x88cb,916,依,것
0x88cc,917,偉,겄
0x88cd,918,囲,겅
0x88ce,919,夷,겆
0x88cf,920,委,겉
0x88d0,921,威,겊
0x88d1,922,尉,겋
0x88d2,923,惟,게
0x88d3,924,意,겐
0x88d4,925,慰,겔
0x88d5,926,易,겜
0x88d6,927,椅,겝
0x88d7,928,為,겟
0x88d8,929,畏,겠
0x88d9,930,異,겡
0x88da,931,移,겨
0x88db,932,維,격
0x88dc,933,緯,겪
0x88dd,934,胃,견
0x88de,935,萎,겯
0x88df,936,衣,결
0x88e0,937,謂,겸
0x88e1,938,違,겹
0x88e2,939,遺,겻
0x88e3,940,医,겼
0x88e4,941,井,경
0x88e5,942,亥,곁
0x88e6,943,域,계
0x88e7,944,育,곈
0x88e8,945,郁,곌
0x88e9,946,磯,곕
0x88ea,947,一,곗
0x88eb,948,壱,고
0x88ec,949,溢,곡
0x88ed,950,逸,곤
0x88ee,951,稲,곧
0x88ef,952,茨,골
0x88f0,953,芋,곪
0x88f1,954,鰯,곬
0x88f2,955,允,곯
0x88f3,956,印,곰
0x88f4,957,咽,곱
0x88f5,958,員,곳
0x88f6,959,因,공
0x88f7,960,姻,곶
0x88f8,961,引,과
0x88f9,962,飲,곽
0x88fa,963,淫,관
0x88fb,964,胤,괄
0x88fc,965,蔭,괆
0x8940,966,院,괌
0x8941,967,陰,괍
0x8942,968,隠,괏
0x8943,969,韻,광
0x8944,970,吋,괘
0x8945,971,右,괜
0x8946,972,宇,괠
0x8947,973,烏,괩
0x8948,974,羽,괬
0x8949,975,迂,괭
0x894a,976,雨,괴
0x894b,977,卯,괵
0x894c,978,鵜,괸
0x894d,979,窺,괼
0x894e,980,丑,굄
0x894f,981,碓,굅
0x8950,982,臼,굇
0x8951,983,渦,굉
0x8952,984,嘘,교
0x8953,985,唄,굔
0x8954,986,欝,굘
0x8955,987,蔚,굡
0x8956,988,鰻,굣
0x8957,989,姥,구
0x8958,990,厩,국
0x8959,991,浦,군
0x895a,992,瓜,굳
0x895b,993,閏,굴
0x895c,994,噂,굵
0x895d,995,云,굶
0x895e,996,運,굻
0x895f,997,雲,굼
0x8960,998,荏,굽
0x8961,999,餌,굿
0x8962,1000,叡,궁
0x8963,1001,営,궂
0x8964,1002,嬰,궈
0x8965,1003,影,궉
0x8966,1004,映,권
0x8967,1005,曳,궐
0x8968,1006,栄,궜
0x8969,1007,永,궝
0x896a,1008,泳,궤
0x896b,1009,洩,궷
0x896c,1010,瑛,귀
0x896d,1011,盈,귁
0x896e,1012,穎,귄
0x896f,1013,頴,귈
0x8970,1014,英,귐
0x8971,1015,衛,귑
0x8972,1016,詠,귓
0x8973,1017,鋭,규
0x8974,1018,液,균
0x8975,1019,疫,귤
0x8976,1020,益,그
0x8977,1021,駅,극
0x8978,1022,悦,근
0x8979,1023,謁,귿
0x897a,1024,越,글
0x897b,1025,閲,긁
0x897c,1026,榎,금
0x897d,1027,厭,급
0x897e,1028,円,긋
0x8980,1029,園,긍
0x8981,1030,堰,긔
0x8982,1031,奄,기
0x8983,1032,宴,긱
0x8984,1033,延,긴
0x8985,1034,怨,긷
0x8986,1035,掩,길
0x8987,1036,援,긺
0x8988,1037,沿,김
0x8989,1038,演,깁
0x898a,1039,炎,깃
0x898b,1040,焔,깅
0x898c,1041,煙,깆
0x898d,1042,燕,깊
0x898e,1043,猿,까
0x898f,1044,縁,깍
0x8990,1045,艶,깎
0x8991,1046,苑,깐
0x8992,1047,薗,깔
0x8993,1048,遠,깖
0x8994,1049,鉛,깜
0x8995,1050,鴛,깝
0x8996,1051,塩,깟
0x8997,1052,於,깠
0x8998,1053,汚,깡
0x8999,1054,甥,깥
0x899a,1055,凹,깨
0x899b,1056,央,깩
0x899c,1057,奥,깬
0x899d,1058,往,깰
0x899e,1059,応,깸
0x899f,1060,押,깹
0x89a0,1061,旺,깻
0x89a1,1062,横,깼
0x89a2,1063,欧,깽
0x89a3,1064,殴,꺄
0x89a4,1065,王,꺅
0x89a5,1066,翁,꺌
